Quantity,UnitPrice,CustomerID,KMeans,KMeans++,DBSCAN,Hierarchical,GMM,AutoEncoder,MLP
2,7.95,13534.0,1,1,0,1,1,1,1
4,3.95,14894.0,1,1,0,0,1,3,1
-4,0.85,12921.0,1,1,0,0,1,1,1
4,1.65,17229.0,0,0,0,3,0,0,0
24,0.55,15144.0,0,0,0,0,1,3,0
2,1.65,14667.0,1,1,0,0,1,3,1
1,4.95,14606.0,1,1,0,0,1,1,1
24,3.75,12583.0,1,1,0,0,1,1,1
2,8.5,15311.0,1,1,0,3,1,1,1
8,2.1,14194.0,1,1,0,0,1,1,1
10,0.42,15033.0,0,0,0,0,0,3,0
1,5.75,16161.0,0,0,0,3,0,3,0
12,3.29,14096.0,1,1,0,0,1,1,1
7,6.95,15218.0,1,1,0,0,1,1,1
12,2.95,14503.0,1,1,0,0,1,3,1
16,4.95,17704.0,0,0,0,3,0,0,0
24,1.25,16011.0,0,0,0,3,0,0,0
5,1.65,17133.0,0,0,0,3,0,0,0
2,9.95,14758.0,1,1,0,1,1,1,1
1,3.75,16674.0,0,0,0,3,0,3,0
1,3.25,14527.0,1,1,0,0,1,1,1
2,7.95,13709.0,1,1,0,1,1,1,1
-1,1.45,14572.0,1,1,0,0,1,3,1
1,9.95,13334.0,1,1,0,1,1,1,1
4,4.95,16837.0,0,0,0,3,0,3,0
24,0.42,12433.0,1,1,0,0,1,1,1
96,2.55,13798.0,1,1,0,0,1,3,1
12,6.75,18242.0,0,0,0,3,0,0,0
2,4.15,16015.0,0,0,0,3,0,3,0
2,8.5,14895.0,1,1,0,1,1,1,1
1,5.95,15525.0,1,1,0,0,1,3,1
1,1.45,14684.0,1,1,0,0,1,3,1
48,2.08,15764.0,0,0,0,0,1,3,0
2,8.5,12681.0,1,1,0,1,1,1,1
24,0.55,14005.0,1,1,0,0,1,3,1
6,0.55,17576.0,0,0,0,3,0,0,0
2,1.45,16110.0,0,0,0,3,0,3,0
1,4.25,14606.0,1,1,0,0,1,1,1
3,5.95,14146.0,1,1,0,0,1,1,1
-2,4.25,15281.0,1,1,0,0,1,3,1
3,1.65,14669.0,1,1,0,0,1,3,1
24,0.21,13069.0,1,1,0,0,1,1,1
2,1.95,14056.0,1,1,0,0,1,1,1
1,2.08,15058.0,1,1,0,0,0,3,1
6,2.95,15249.0,1,1,0,0,0,3,1
12,4.65,13078.0,1,1,0,0,1,1,1
3,2.08,15747.0,0,0,0,3,0,3,0
1,8.5,13124.0,1,1,0,1,1,1,1
16,4.95,17975.0,0,0,0,3,0,0,0
1,3.95,17813.0,0,0,0,3,0,0,0
1,0.39,15877.0,0,0,0,3,0,0,0
1,2.95,13755.0,1,1,0,0,1,1,1
24,0.55,12876.0,1,1,0,0,1,1,1
10,2.08,15950.0,0,0,0,3,0,3,0
1,4.95,17870.0,0,0,0,3,0,0,0
1,1.65,17341.0,0,0,0,3,0,0,0
5,0.39,16744.0,0,0,0,3,0,0,0
12,0.83,17015.0,0,0,0,3,0,0,0
1,4.25,15022.0,1,1,0,0,1,3,1
4,4.15,17084.0,0,0,0,3,0,3,0
24,1.25,16292.0,0,0,0,3,0,0,0
6,1.25,16744.0,0,0,0,3,0,0,0
24,0.42,17049.0,0,0,0,3,0,0,0
12,1.45,13988.0,1,1,0,0,1,1,1
5,0.42,15856.0,0,0,0,3,0,0,0
2,0.55,14527.0,1,1,0,0,1,3,1
12,0.83,17314.0,0,0,0,3,0,0,0
